location,size,rooms,land_area,description,seller,price
Schkopau (Ermlitz),105 m²,4 Zi.,200 m² Grundstück,Gepflegtes Reihenmittelhaus mit Garage kleinem Garten und Stellplatz !,Scheuner Immobilien,225.000 €
Sandau (Elbe),120.73 m²,6 Zi.,902 m² Grundstück,Einfamilienhaus mit Kamin + Terrasse + Doppelgarage + Bungalow in Sandau (Elbe),IVONNE PEIPPELMANN IMMOBILIEN,199.000 €
Belgern-Schidau (Sitzenroda),105 m²,4 Zi.,1192 m² Grundstück,Bezugsfertiges Einfamilienhaus (Baujahr 2004) zwischen Dahlen und Schildau zu verkaufen,Joachim Rolke Immobilien GmbH,265.000 €
Jarmen / Wilhelminenthal (Wilhelminenthal),230 m²,6 Zi.,5838 m² Grundstück,Freistehendes Einfamilienhaus in Wilhelminenthal,BIRNBAUM Real Estate Management GmbH,225.000 €
Grimma (Grimma),85 m²,4 Zi.,740 m² Grundstück,Doppelhaushälfte mit schönem Garten in guter Lage in Grimma,Uwe Krah Immobiliendienstleistungen - Krah Immobilien,112.000 €
Kabelsketal (Osmünde),100 m²,4 Zi.,483 m² Grundstück,Neubau Bungalow inklusive großzügigem Grundstück,Höring Immobilien,317.000 €
Banzkow (Banzkow),200 m²,7 Zi.,1566 m² Grundstück,die Lewitz ruft,Appelhagen Immobilienmakler,265.000 €
Südliches Anhalt (Klein-Weißandt),,3 Zi.,1200 m² Grundstück,"Klein, fein und Gaststätte dabei !- Görzig -  Hier können Sie  Ihre eigene Wurst herstellen .",LEconsulTS,130.000 €
"Brandsteiner Straße 24 (Gladau), Genthin (Dretzel)",101 m²,4 Zi.,1035 m² Grundstück,Sie mögen das Landleben - EFH in Gladau? Dann schauen Sie selbst ... ,P. Bensch GmbH i.L. (Immobilienbüro seit 1992),125.000 €
"Blankenburger Weg 5, Gramzow (Meichow)",100.5 m²,6 Zi.,3500 m² Grundstück,Schönes Einfamilienhaus mit Stall in Alleinlage,Freitag Immobilien OHG,211.000 €
Temnitztal (Garz),135 m²,5 Zi.,1000 m² Grundstück,+ + + 135 m² Trendhaus in Vichel + + +,Trendhaus Weingart - Bau GmbH,310.410 €
Jahnsdorf/Erzgeb. (Seifersdorf),130 m²,6 Zi.,649 m² Grundstück," *** Erfüllen Sie sich Ihren Traum vom eigenen Haus*** individuell geplantes Einfamilienhaus mit vielen Extras in ruhiger, ländlicher Lage ",graupner immobilien,auf Anfrage
Grimma (Nerchau),100 m²,4 Zi.,276 m² Grundstück,Einfamilienhaus sucht Sie! Platz für Sie und Ihrer Familie,Uwe Krah Immobiliendienstleistungen - Krah Immobilien,59.999 €
Holthusen (Holthusen),107 m²,4 Zi.,357 m² Grundstück,Doppelhaushälfte sucht glückliche Familie,J.Göpfert Immobilien,375.000 €
Egeln (Egeln-Nord),180 m²,,480 m² Grundstück,"Ihre 8.500,00 € Rendite/Jahr = 10 % Mietgarantie mit Full-Service-Garantie",SEK-Kraftwerke u. Liegenschaften AG,85.000 €
Wieck a. Darß,230 m²,6 Zi.,2050 m² Grundstück,von privat: Architektenlandhaus auf großem Grundstück in 18375 Wieck a. Darß ,Grus Grus-Immobilien,2.500.000 €
Eberswalde / Finow (Finow),112 m²,4 Zi.,787 m² Grundstück,***Neuer Preis***Eberswalde-Finow: massives Einfamilienhaus mit Vollkeller auf 787 m² Grst.,Immobilien3,365.000 €
Braunsbedra (Roßbach),125 m²,4 Zi.,150 m² Grundstück,Nur 6 Minuten vom See entfernt! Einziehen und Wohlfühlen in Roßbach.,Dumont Immobilienservice Inh. Karsten Dumont,167.000 €
Rackwitz (Rackwitz),140 m²,5 Zi.,480 m² Grundstück,"10 % Rendite - Mietgarantie - Full-Service-Garantie Inkl. 9.000,00€/Nettomiete/Jahr",SEK-Kraftwerke u. Liegenschaften AG,90.000 €
Fraureuth (Ruppertsgrün),125 m²,6 Zi.,800 m² Grundstück,Ruppertsgrün - Zweifamilienhaus mit schönem Grundstück - umfangreiche Modernisierungen ab 2020,KELLER Immobilien Inh. Christel Keller,188.000 €
Königs Wusterhausen (Königs Wusterhausen),120 m²,6 Zi.,550 m² Grundstück,Reihenmittelhaus in Königs Wusterhausen,Dr. Trende Immobilien (Nachf.),420.000 €
Großröhrsdorf (Großröhrsdorf),120 m²,,960 m² Grundstück,EFH mit Vollkeller u. Nebengelass,Zum Königswald Immobilien GmbH,290.000 €
Heringsdorf (Seebad Ahlbeck),332.93 m²,14 Zi.,847 m² Grundstück,Exklusive Strandvilla in 2. Reihe von Seebad Ahlbeck,Gliesner Immobilien Usedom,1.300.000 €
Hohendorf (Hohendorf),113 m²,5 Zi.,800 m² Grundstück,Einfamilienhaus in Hohendorf (Wolgast),BIRNBAUM Real Estate Management GmbH,249.000 €
"Lindenstraße 4, Neukieritzsch (Neukieritzsch)",148 m²,7 Zi.,1129 m² Grundstück,Imposantes Anwesen im Südraum von Leipzig!!!,Sander Immobilien,340.000 €
Zislow (Zislow),78 m²,5 Zi.,300 m² Grundstück,Ferienhaus mit Blick auf den Plauer See,BIRNBAUM Real Estate Management GmbH,259.500 €
"Lindenallee 43, Zerbst/Anhalt (Nedlitz)",140 m²,5 Zi.,640 m² Grundstück,Teilsaniertes Einfamilienhaus ,Nindel-Immobilien GbR Tatyana Nindel u. Fred Nindel,130.000 €
Eppendorf (Großwaltersdorf),225 m²,8 Zi.,927 m² Grundstück,"Sofort bezugsfähiges Zweifamilienhaus mit Grundstück, Garage und Ausbaureserve ***Brunnenwasser***",AIB Immobilien,159.000 €
"Friedensstraße 38, Zerbst/Anhalt (Steutz)",180 m²,3 Zi.,1379 m² Grundstück,Sanierungsbedürftiges Haus in 39264 Steutz -  nur 10 km von Zerbst entfernt,Nindel-Immobilien GbR Tatyana Nindel u. Fred Nindel,35.500 €
Niederau (Gröbern),170 m²,5 Zi.,1310 m² Grundstück,Ein Traumplatz mit unverbaubarer Fernsicht,Radebeuler Wohnbau GmbH,610.000 €
Horst / Segebadenhau (Segebadenhau),85 m²,2 Zi.,2586 m² Grundstück,Charmante Doppelhaushälfte inmitten der Natur mit unverbautem Weitblick,BIRNBAUM Real Estate Management GmbH,187.000 €
Oranienburg (Sachsenhausen),120 m²,4 Zi.,863 m² Grundstück,Überzeugendes Einfamilienhaus mit Saunabereich in ruhiger Lage von Oranienburg/Sachsenhausen,Stadt &amp; Landimmobilien Kremmen / Oranienburg,420.000 €
Werder (Havel) (Werder (Havel)),154 m²,5 Zi.,881 m² Grundstück,"EFH in ruhiger Lage, Nähe Plessower See",Konzeptfinanz,670.000 €
Coswig,168 m²,6 Zi.,770 m² Grundstück,Ein Zuhause zum Wohlfühlen,Radebeuler Wohnbau GmbH,685.000 €
Coswig,178 m²,5 Zi.,800 m² Grundstück,Ein grünes Zuhause in Coswig,Radebeuler Wohnbau GmbH,552.900 €
Putgarten (Fernlüttkevitz),82 m²,4 Zi.,514 m² Grundstück,Doppelhaushälfte - Ihr Wohntraum am Kap Arkona,Goldberg Immobilien Gruppe Nord GmbH,369.000 €
Rathenow (Göttlin),153 m²,5 Zi.,954 m² Grundstück,Großes Bauernhaus,Green Cat Bau &amp; Immobilien Andreas Hartmann,248.500 €
Bad Schmiedeberg (Bad Schmiedeberg),120 m²,4 Zi.,682 m² Grundstück,Einfamilienhaus in Bad Schmiedeberg zu verkaufen ,IGS Torgau,270.000 €
Bad Kleinen (Bad Kleinen),96 m²,,726 m² Grundstück,*****RESERVIERT*****Bungalow in schöner Lage von Bad Kleinen zu verkaufen!,Bernd Lüdtke Immobilien,180.000 €
Rangsdorf (Rangsdorf),95 m²,4 Zi.,645 m² Grundstück,+++ Anschauen-Kaufen-Einziehen-Wohlfühlen +++,adlerfinanz-Immobilien,549.000 €
Hennigsdorf,110 m²,5 Zi.,1251 m² Grundstück,Mitten in Hennigsdorf,Immobilienservice Thomas Zysno,888.888 €
Hoppegarten (Münchehofe),200 m²,6 Zi.,1320 m² Grundstück,ARCHITEKTENHAUS IN RUHIGER LAGE,BFM Krüger Immobilien,840.000 €
Großräschen (Großräschen),80 m²,3 Zi.,2500 m² Grundstück,mass EFH Bungalowstil mit NG und Grund in Top Lage von Großräschen,Hache Immobilien Inh. Magdi Hache,129.000 €
Großräschen (Großräschen),70 m²,2 Zi.,950 m² Grundstück,EFH mit NG in Top Lage von Großräschen,Hache Immobilien Inh. Magdi Hache,139.000 €
Dresden (Naußlitz),150 m²,8 Zi.,1030 m² Grundstück, Wohnen oberhalb des Plauenschen Grundes - Fernsicht inklusive - Sofort nutzbar,Pilz Immobilien e.K.,599.900 €
Barleben (Meitzendorf),150 m²,5 Zi.,830 m² Grundstück,Bezugsfertiges Einfamilienhaus in Meitzendorf,Dr.Sporkenbach Baukonzept GmbH,499.000 €
"Friedrich-Ludwig-Jahn-Weg 2, Ketzin/Havel (Ketzin)",79 m²,3 Zi.,800 m² Grundstück,Ufernahes Grundstück an der Hvael,Eckehard Sieg - Immobilien,185.000 €
Theuma,115 m²,4 Zi.,1 m² Grundstück,Neubau - Einfamilienhaus in massiver Ziegelbauweise,Agentur Frank Schubert Immobilien und Finanzservice,245.150 €
Wildau,118 m²,4 Zi.,480 m² Grundstück,Viel Grün und Seen für Ihre Doppelhaushälfte,Myimmo-Home,549.000 €
Pockau-Lengefeld (Wünschendorf),215 m²,8 Zi.,904 m² Grundstück,"Solides, geräumiges und sanierungsbedürftiges Wohnhaus in sehr schöner Wohnlage",AIB Immobilien,50.000 €
Dreschvitz (Dreschvitz),125 m²,5 Zi.,1245 m² Grundstück,"Ihre Ferienimmobilie auf der Insel Rügen! - Sommerdomizil, Wohnprojekt und Ferienhaus!",Goldberg Immobilien Gruppe Nord GmbH,249.000 €
Storkow (Mark) (Storkow),134 m²,5 Zi.,958 m² Grundstück,Wohntraum in ruhiger Lage und wenige Meter vom Storkower See,Kontrast-Immobilien Inh. Matthias Lambeck,579.000 €
Storkow (Mark) (Storkow),143 m²,4 Zi.,988 m² Grundstück,Charmantes Häuschen unweit vom Storkower See im Ortsteil Karlslust,Kontrast-Immobilien Inh. Matthias Lambeck,479.000 €
Kloster Lehnin - Prützke (Prützke),95 m²,4 Zi.,649 m² Grundstück,"Individuell, mit viel Nebengelass, Garage, teilunterkellert",Thomas Fiedler Maklerunternehmen,175.000 €
Woltersdorf,135 m²,5 Zi.,815 m² Grundstück,+ + + 135 m² Trendhaus in Woltersdorf + + +,Trendhaus Weingart - Bau GmbH,489.410 €
"Alter Weg 39    OT Leitzkau, Gommern (Leitzkau)",215 m²,6 Zi.,867 m² Grundstück,*Generationshaus*  voll unterkellert mit 2 separaten Wohneinheiten und Doppelgarage in 39279 Leitzkau,Nindel-Immobilien GbR Tatyana Nindel u. Fred Nindel,438.000 €
Neukloster (Neukloster),200.6 m²,7 Zi.,517 m² Grundstück,Doppelhaushälfte mit neuer Heizung in Neukloster!,Bernd Lüdtke Immobilien,220.000 €
Prenzlau (Prenzlau),115 m²,5 Zi.,1200 m² Grundstück,GEPFLEGTE DOPPELHAUSHÄLFTE MIT HERRLICHEM GRUNDSTÜCK!,Dorit Wegner Immobiliensachverständige,289.000 €
Neukirchen/Pleiße (Neukirchen),160 m²,5 Zi.,1429 m² Grundstück,Solides Einfamilienhaus Neukirchen / Pleiße,Wirtschafts und Finanzkanzlei Christian Jacob,170.000 €
Großpaschleben (Großpaschleben),100 m²,6 Zi.,884 m² Grundstück,Einfamilienhaus in Großpaschleben,Sachverständigenbüro und Immobilienagentur Jens Wecke,35.000 €
Usedom (Usedom),125 m²,5 Zi.,235 m² Grundstück,Stadthaus mit 2 Wohneinheiten in Usedom,Gliesner Immobilien Usedom,225.000 €
"Brunnenstr. 37, Könnern (Trebnitz)",79 m²,2 Zi.,350 m² Grundstück,Doppelhaushälfte in Könnern OT Trebnitz ,IC Immobilien GmbH,49.000 €
"Turnergasse 3, Forst (Lausitz) (Briesnig)",250 m²,5 Zi.,3600 m² Grundstück,Handwerker gesucht!,Kuhn Immobilien,180.000 €
Panketal (Zepernick),115 m²,4 Zi.,470 m² Grundstück,+ + + 115 m² Haus mit Grundstück in Zepernick + + +,Trendhaus Weingart - Bau GmbH,354.290 €
Falkensee,70 m²,2.5 Zi.,703 m² Grundstück,Herrliche Grünlage: Kleines Haus mit nutzbarem Anbau,Steffen Koch Immobilien,385.000 €
"Schwerinsburg 28, Ducherow (Schwerinsburg)",215 m²,7 Zi.,1525 m² Grundstück,Einfamilienhaus + Ferienhaus + Werkstatt/Garage +  Hof und Garten !!!,Pommern Immobilien Reincke Friedrich-Joachim Reincke,186.000 €
Jüterbog (Kloster Zinna),125 m²,4 Zi.,620 m² Grundstück,Einfamilienhaus im ländlichen für die Familie,Myimmo-Home,389.000 €
Treuenbrietzen (Treuenbrietzen),125 m²,4 Zi.,700 m² Grundstück,Charmantes Einfamilienhaus am See,Myimmo-Home,499.000 €
Kühnhaide b Marienberg (Kühnhaide),160 m²,7 Zi.,1064 m² Grundstück,"RESERVIERT Einfamilienhaus mit Einliegerwohnung, Garage und großem Garten in ruhiger Lage - Kühnhaide bei Marienberg zu verkaufen",Ronny Fröhlich Immobilien,198.000 €
Hoppegarten (Münchehofe),285 m²,10 Zi.,1820 m² Grundstück,Zwei Einfamilienhäuser auf großem Grundstück,BFM Krüger Immobilien,1.185.000 €
Heringsdorf (Alt Sallenthin),224 m²,8 Zi.,936 m² Grundstück,Einfamilienhaus mit Einliegerwohnung in bester Lage,RS Immobilien,435.000 €
Bismark (Bismark),164 m²,7 Zi.,3038 m² Grundstück,Zwei Generationen unter einem Dach  Großes Grundstück in ruhiger Lage,LODDERS-IMMOBILIEN,219.000 €
Zahna-Elster (Mühlanger),148 m²,6 Zi.,1884 m² Grundstück,Wohnhaus in Mühlanger bei Lutherstadt Wittenberg,Matthias Wilhelm Immobilien,210.000 €
Gröbzig (Wörbzig),110 m²,4 Zi.,915 m² Grundstück,freistehendes Einfamilienhaus mit Garage und unverbauten Blick in Wörbzig,Sachverständigenbüro und Immobilienagentur Jens Wecke,114.990 €
Wildau,90 m²,4 Zi.,800 m² Grundstück,Wildau,Maklerbüro Müller,439.000 €
"Wiesenstr. 14, Peitz (Cottbuser Vorstadt)",,,830 m² Grundstück,"Preisänderung! Ruine und Baugrundstück in Peitz bei Cottbus, Platz für Ihre Ideen",Immobilien Agentur Ronald Will e.K.,59.000 €
Bad Bibra (Bad Bibra),100 m²,4 Zi.,197 m² Grundstück,Einfamilienhaus - bereits mit Brennwert-Heizung - Koffer packen einziehen,DREIFACHMAKLER,49.900 €
Netzschkau (Limbach),126 m²,4 Zi.,1180 m² Grundstück,"Nach Kauf sofort beziehbares Einfamilienhaus mit Grundstück, Garagen und Nebengelass in ländlicher Lage/Dorflage bei ...",HAGER-IMMOBILIEN,160.000 €
Leipzig (Althen-Kleinpösna),119 m²,,919 m² Grundstück,+++SCHÖNER GROSSER GARTEN+++EINFAMILIENHAUS+++GEPFLEGT+++EBK+++KELLER+++GARAGE+++TOP-LAGE+++GEWÄCHSHAUS+++,Morgenstern Immobilien,495.000 €
Leipzig (Schönau),146 m²,5 Zi.,480 m² Grundstück,+++5 ZIMMER+++SIEDLUNGSLAGE+++TOP-LAGE+GRUNDRISS+++EINFAMILIENHAUS+++KAMIN+++EBK+++ZISTERNE+++ GARTEN+++GARTENHAUS+++CARPORT+++POOL+++,Morgenstern Immobilien,590.000 €
Grimmen (Grimmen),162 m²,6 Zi.,2041 m² Grundstück,Zweigeschossiges EFH mit gemütlichem Ambiente im Herzen Grimmens,BIRNBAUM Real Estate Management GmbH,393.000 €
Falkensee,120 m²,5 Zi.,540 m² Grundstück,Ihr neues Zuhause in Falkensee,Myimmo-Home,584.000 €
Ostritz (Ostritz),130 m²,5 Zi.,524 m² Grundstück,Einfamilienhaus in Ostritz!,­MARX Immobilien GmbH,74.500 €
Ummanz (Varbelvitz),67 m²,3 Zi.,230 m² Grundstück,Doppelhaushälfte zum Wohnen und Vermieten am Wasser,Goldberg Immobilien Gruppe Nord GmbH,267.000 €
Marlow (Marlow),180 m²,8 Zi.,747 m² Grundstück,"Stadthaus mit zwei Wohnungen, Ferienhaus und Nebengelass",BIRNBAUM Real Estate Management GmbH,218.000 €
Plauen (Thiergarten),165 m²,,1890 m² Grundstück,Bungalow inkl. Einliegerwohnung und. Bauplatz,Agentur Frank Schubert Immobilien und Finanzservice,auf Anfrage
"Bahnhofstraße 1, Kabelsketal (Zwintschöna)",130 m²,4 Zi.,830 m² Grundstück,Familientraum mit Potential,Höring Immobilien,349.000 €
Weißenfels (Markwerben),197 m²,,2192 m² Grundstück,Gepflegtes Bauernhaus in Weißenfels OT Markwerben,NIK GmbH,146.000 €
"Skalablick 56, Löbau (Kittlitz)",110 m²,5 Zi.,697 m² Grundstück,"Kaufen, einziehen, fertig, kurzfristig ","Finanzconsultant, Vermittlung von Immobilien und Kapitalanlagen",266.000 €
Behren-Lübchin / Duckwitz (Duckwitz),100 m²,4 Zi.,2708 m² Grundstück,Idyllische Traumlage am Schloss - wohnen im Mecklenburger ParkLand,"Dahler Rostock, jovi living GmbH",280.000 €
Neuenkirchen (Neuenkirchen),90 m²,4 Zi.,1222 m² Grundstück,Sanierungsbedürftige Doppelhaushälfte in ruhiger Lage ++ EINMALIGE FINANZIERUNG++,Goldberg Immobilien Gruppe Nord GmbH,148.000 €
"Kottengrüner Hauptstraße 30, Werda (Kottengrün)",205 m²,8 Zi.,683 m² Grundstück,***Stilvolle Villa - vielfältige Möglichkeiten***,C&amp;M ImmoConsult,269.000 €
Freital (Freital),163 m²,5 Zi.,500 m² Grundstück,Bezahlbares Grundstück mit schickem Haus in Freital,Radebeuler Wohnbau GmbH,429.950 €
Glauchau (Niederlungwitz),300 m²,10 Zi.,300 m² Grundstück,Für Generationen Glauchau -Sanierungsobjekt- Teilbezug möglich,LEconsulTS,170.000 €
Bad Kleinen (Bad Kleinen),120 m²,4 Zi.,320 m² Grundstück,Sehr gepflegte Doppelhaushälfte in Bad Kleinen zu verkaufen!,Bernd Lüdtke Immobilien,259.999 €
Osterburg (Meseberg),250 m²,12 Zi.,13250 m² Grundstück,"*** Früheres Großbauernhaus aus Rotziegel mit Stall und Scheune inkl. Photovoltaikanlage mit 1,325 ha Land ***",Suchowski-Abratis Immobilien,120.000 €
"Karl-Libeknecht-Str. 59 c (Redekin), Jerichow (Redekin)",103 m²,3 Zi.,1539 m² Grundstück,"Reserviert - Redekin, EFH mit Nebengebäude, 2 Garagen u. Platz zum Relaxen",P. Bensch GmbH i.L. (Immobilienbüro seit 1992),150.000 €
Görlitz (Nikolaivorstadt),87.92 m²,3 Zi.,1421 m² Grundstück,Doppelhaushälfte in Görlitz mit großem Grundstück!,­MARX Immobilien GmbH,147.000 €
Wermsdorf (Wermsdorf),110 m²,3 Zi.,500 m² Grundstück,Neugebautes Einfamilienhaus in modernen Baustil in Wermsdorf zu verkaufen,Joachim Rolke Immobilien GmbH,359.000 €
Mücheln (Geiseltal) (Mücheln),85 m²,5 Zi.,627 m² Grundstück,RESERVIERT!!! - Doppelhaushälfte mit teilweisem Seeblick,Schäfer-Immobilien,80.000 €
"Dratower Straße 4, Möllenhagen (Rockow)",90 m²,5 Zi.,4000 m² Grundstück,Sehr seltene Gelegenheit in absoluter Alleinlage - bis zum Horizont kein Nachbar! ,Mecklenburger Grundbesitzverwaltung,299.000 €
"Frauentorplatz 14, Zerbst/Anhalt (Zerbst)",142.5 m²,4 Zi.,144 m² Grundstück,Kernsaniertes Stadthaus im Zentrum von Zerbst,Nindel-Immobilien GbR Tatyana Nindel u. Fred Nindel,175.000 €
Kriebstein (Ehrenberg),80 m²,9 Zi.,1480 m² Grundstück,Einfamilienhaus im ländlichen Bereich/ Peripherie Waldheim,Lindner Immobilien,85.000 €
Kröslin (Kröslin),130 m²,6 Zi.,985 m² Grundstück,Doppelhauhälfte mit Wasserblick !,sh- Immobilien Inh. Sven Hasl,180.000 €
"Hafenstraße 1, Karlshagen",226 m²,7 Zi.,850 m² Grundstück,Einfamilienhaus - mit vielen Extras ,"Karin Mähl, Immobilien",831.000 €
Merseburg (Meuschau),118 m²,4 Zi.,274 m² Grundstück,naturnah gelegene Doppelhaushälfte zw. Merseburg und Leipzig,Westring 29 Immobilien GmbH,265.000 €
Freyburg (Unstrut) (Freyburg),130 m²,5 Zi.,260 m² Grundstück,Wohlfühlen im Herzen von Freyburg. Mit Blick auf die Neuenburg!,Dumont Immobilienservice Inh. Karsten Dumont,189.000 €
Waren (Waren),90 m²,3 Zi.,1375 m² Grundstück,Idyllisches Einfamilienhaus mit schönem Nebengebäude in ruhiger Lage der Altstadt Waren Müritz,Püschel Immobilien OHG,320.000 €
Ückeritz,223 m²,14 Zi.,1595 m² Grundstück,2 EFH mit vielfältigen Nutzungsmöglichkeiten,Torsten Reyher Immobilien,964.000 €
Ückeritz,100 m²,9 Zi.,680 m² Grundstück,EFH mit Ferienwohnungen auf der Urlaubsinsel Usedom,Torsten Reyher Immobilien,422.000 €
Groß Mohrdorf (Hohendorf),125.75 m²,5 Zi.,1043 m² Grundstück,Schwedenhaus mit Blick zur Ostsee - nach Ihren Wünschen renoviert!,Kahlhorn Immobilien,380.000 €
"Spremberger Straße 43, Spremberg (Sellessen)",140.6 m²,5 Zi.,1625 m² Grundstück,SOLIDES EINFAMILIENHAUS MIT EINLIEGERWOHNUNG IM NEBENGEBÄUDE,Erik Weber Immobilien Marketing e. K.,auf Anfrage
"Friedrich Naumann Str. 22, Zerbst/Anhalt (Zerbst)",250 m²,9 Zi.,350 m² Grundstück,Teilfertig gestelltes MFH (3 WE) in Best Lage von Zerbst,Nindel-Immobilien GbR Tatyana Nindel u. Fred Nindel,205.000 €
Zerbst/Anhalt (Zerbst),150 m²,4 Zi.,1116 m² Grundstück,"Hochwertig gebautes EFH im Landhausstil auf großem Grundstück, nur 3 km von Zerbst entfernt",Nindel-Immobilien GbR Tatyana Nindel u. Fred Nindel,460.000 €
"Lengenfelderstraße 01, Reichenbach (Reichenbach)",285.3 m²,8 Zi.,1521 m² Grundstück,FABRIKANTEN VILLA in Reichenbach | meroplan Immobilien GmbH,meroplan Immobilien GmbH,400.000 €
Prerow,348 m²,10 Zi.,1540 m² Grundstück,Reetgedecktes Landhaus auf großem Grundstück  in 18375 Ostseebad Prerow,Grus Grus-Immobilien,1.649.000 €
"An der Lösermühle 6, Neuhausen/Erzgebirge (Cämmerswalde)",85 m²,7 Zi.,1120 m² Grundstück,"Landhaus in ruhiger, sonniger Lage",Immobilien Herrmann,40.000 €
Pockau-Lengefeld (Lippersdorf),250 m²,17 Zi.,80000 m² Grundstück,Idyllisch wohnen auf dem Land ,Immobilien GmbH Andreas Fiebig,270.000 €
Pockau-Lengefeld (Wernsdorf),150 m²,8 Zi.,1020 m² Grundstück,Ein- bis Zweifamilienhaus mit herrlichem Grundstück und viel Nebengelass,AIB Immobilien,120.000 €
Groß Kiesow (Groß Kiesow),90 m²,3 Zi.,232 m² Grundstück,Reihenmittelhaus mit Ausbaupotenzial,BIRNBAUM Real Estate Management GmbH,54.900 €
Breitenbrunn/Erzgebirge (Breitenbrunn),180 m²,8 Zi.,850 m² Grundstück,Wohntraum im Erzgebirge mit Fernblick +++Traumhaftes Einfamilienhaus mit Einliegerwohnung +++ variable Nutzungsmöglichkeit ,graupner immobilien,auf Anfrage
Hainichen (Hainichen),120 m²,5 Zi.,260 m² Grundstück,Gepflegtes Haus in einer ruhigen Nebenstraße,Immobilien Gemeinschafts Büro,108.000 €
Zwönitz (Zwönitz),120 m²,6 Zi.,310 m² Grundstück,Wohnen in der schönen Bergstadt Zwönitz: Reiheneckhaus mit Anbau und einer freistehenden großen Garage,graupner immobilien,125.000 €
Bad Kleinen (Bad Kleinen),96 m²,,327 m² Grundstück,Kapitalanlage! Vermietete Doppelhaushälfte mit schönem Grundstück zu verkaufen!,Bernd Lüdtke Immobilien,225.000 €
"Marienstraße 28, Meerane (Meerane)",679.64 m²,,526 m² Grundstück,Wohn- und Geschäftshaus in Meeraner Top-Lage mit 3 vermieteten Wohnungen!,SIBV Immobilienbetriebs- und -vermarktungsgesellschaft mbH­,auf Anfrage
Marienberg (Gebirge),171 m²,8 Zi.,490 m² Grundstück,Auch alte Häuser haben ihren Zauber,Immobilien Gemeinschafts Büro,122.000 €
Geringswalde (Geringswalde),,,598 m² Grundstück,Zwei auf einen Streich,Immobilien Gemeinschafts Büro,140.000 €
Glauchau (Niederlungwitz),100 m²,7 Zi.,600 m² Grundstück,Fertigstellergesucht Glauchau -Sanierungsobjekt- teilbezug möglich,LEconsulTS,103.000 €
"Kuckucksweg 26, Borsdorf (Panitzsch)",129 m²,5 Zi.,286 m² Grundstück,Doppelhaushälfte nahe Leipzig,Pro Carré Facility Management GmbH,260.000 €
Rankwitz (Rankwitz),126 m²,5 Zi.,381 m² Grundstück,Einfamilienhaus mit einer Ferienwohnung im Lieper Winkel auf der Ostseeinsel Usedom,Tesch-Immobilien.com,auf Anfrage
"Am Vogel 26, Weinböhla",130 m²,4 Zi.,820 m² Grundstück,"Im Sommer 2023 bezugsfertig, sicher und nachhaltig ins eigene TAFF-Haus ziehen!",VSC GmbH,509.900 €
"Am Vogel 15, Weinböhla",151 m²,4 Zi.,630 m² Grundstück,TAFF-Haus mit Grundstück einzugsfertig zu Verkaufen - sicher und energieeffizient zum Eigenheim,VSC GmbH,559.900 €
"Am Vogel 16, Weinböhla",112 m²,4 Zi.,716 m² Grundstück,Vorbauprojekt in Weinböhla - bezugsfertiges TAFF-Haus im Sommer 2023,VSC GmbH,479.900 €
Blankenfelde-Mahlow (Blankenfelde),83 m²,4 Zi.,716 m² Grundstück,Doppelhaushälfte in Blankenfelde zu verkaufen!,Dr. Wilhelm Prögel &amp; Söhne Immobilien Inh: Fabian Prögel,340.000 €
Blankenfelde-Mahlow (Dahlewitz),91 m²,4 Zi.,516 m² Grundstück,Einfamilienhaus in Dahlewitz zu verkaufen!,Dr. Wilhelm Prögel &amp; Söhne Immobilien Inh: Fabian Prögel,450.000 €
Liebschützberg (Oschatz),135 m²,6 Zi.,930 m² Grundstück,Schicke Doppelhaushälfte in der Gemeinde Liebschützberg zu verkaufen,Joachim Rolke Immobilien GmbH,235.000 €
Haldensleben (Haldensleben),95 m²,3 Zi.,1093 m² Grundstück,Doppelhaushälfte in Haldensleben zu verkaufen.,Prinz Immobilien,259.000 €
Reichenbach (Reichenbach),197.5 m²,6 Zi.,1519 m² Grundstück,Zweifamilienhaus in Reichenbach/O.L.,­MARX Immobilien GmbH,122.500 €
Kröslin (Kröslin),125 m²,4 Zi.,308 m² Grundstück,Doppelhaushälfte in Kröslin !,sh- Immobilien Inh. Sven Hasl,250.000 €
Merseburg (Merseburg),125 m²,4 Zi.,561 m² Grundstück,RESERVIERT!!! - Einfamilienhaus in Stadtrandlage,Schäfer-Immobilien,120.000 €
"Berliner Allee 34, Wandlitz (Schönerlinde)",127 m²,5 Zi.,1140 m² Grundstück,Stadtnah im Grünen - individuelle Doppelhäuser in Schönerlinde ,Ingenieurbüro - Immobilien Dipl.-Ing. Andreas Günther,462.720 €
Olbernhau (Olbernhau),291 m²,10 Zi.,240 m² Grundstück,Historisches Wohn- und Geschäftshaus in 1A-Lage,AIB Immobilien,310.000 €
Schmogrow-Fehrow (Schmogrow),75 m²,,750 m² Grundstück,Kleines Landhaus am Wald - mitten im Spreewald -,Schneider Immobilien,126.000 €
"Berliner Landstraße 66, Grünheide (Mark) (Hangelsberg)",106 m²,4 Zi.,1263 m² Grundstück,Der Frühling im eigenen Garten in Hangelsberg!,Kuhn Immobilien,325.000 €
Reinsdorf (Reinsdorf),128 m²,6 Zi.,1277 m² Grundstück,Einfamilienhaus in Görzig/Reinsdorf,Sachverständigenbüro und Immobilienagentur Jens Wecke,89.990 €
