location,size,rooms,land_area,description,seller,price
"Niederwerrnerstraße 17, Schweinfurt (Innenstadt)",520 m²,,244 m² Grundstück,Wohn- und Geschäftshaus an exponierter Lage,Privater Anbieter,1.399.000 €
Essenbach (Unterahrain),140 m²,4.5 Zi.,600 m² Grundstück,"Provisionsfrei - EFH mit traumhaftem Garten, Doppelgarage und PV-Anlage in der Marktgemeinde Essenbach",Privater Anbieter,620.000 €
Feucht (Feucht),125 m²,5.5 Zi.,132 m² Grundstück,"Reihenmittelhaus in Feucht, sehr gute Lage, ideal für junge Familien.",Privater Anbieter,545.000 €
Eckersdorf (Donndorf),149 m²,6 Zi.,312 m² Grundstück,Provisionsfrei - Doppelhaushälfte in Eckersdorf,Privater Anbieter,550.000 €
Würzburg (Heuchelhof),203 m²,7 Zi.,159 m² Grundstück,Einzugsbereites Raumwunder mit Garten und separater Garage zum Kauf - provisionsfrei,Privater Anbieter,580.000 €
"Gustav-Adolf-Straße 5, Kulmbach (Kulmbach)",220 m²,7 Zi.,1000 m² Grundstück,großzügige Architektenvilla in 1 a Lage Kulmbach - provisionsfrei-,Privater Anbieter,585.000 €
Sachsen bei Ansbach (Sachsen),270 m²,10 Zi.,1551 m² Grundstück,Ein besonderes Anwesen für Liebhaber,Privater Anbieter,620.000 €
Cham (Cham),260 m²,12 Zi.,540 m² Grundstück,Schönes Zweifamilienhaus mit zusätzlicher Einliegerwohnung mitten in Cham,Privater Anbieter,479.000 €
Hallerndorf (Hallerndorf),136 m²,6 Zi.,350 m² Grundstück,Doppelhaushälfte ideal für Familien oder auch Ruheständler.,Privater Anbieter,395.000 €
Prackenbach (Moosbach),151 m²,6 Zi.,177 m² Grundstück,Kapitalanleger - MFH mit grossem Potenzial!,Privater Anbieter,330.000 €
Coburg (Beiersdorf),138 m²,5 Zi.,883 m² Grundstück,Gemütliches Wohnhaus in beliebter Lage - Nähe Goldbergsee!,Immobilien Reinhardt GmbH,249.000 €
Winzer (Neßlbach),122 m²,4 Zi.,369 m² Grundstück,Neubau Doppelhaushälfte Erstbezug provisionsfrei und Eigenleistung möglich ,Privater Anbieter,380.000 €
Adelschlag (Ochsenfeld),169 m²,7 Zi.,652 m² Grundstück,"Provisionsfrei - EFH mit Garten in Ochsenfeld, bei Eichstätt.",Privater Anbieter,480.000 €
Dittelbrunn (Hambach),142 m²,4 Zi.,1400 m² Grundstück,"Einfamilienhaus mit großer Halle, kleine Halle, 2 Garagen in 97456 Dittelbrunn-Pfändhausen (ID 10317)",Karin Sacher Immobilien,175.000 €
Ipsheim (Ipsheim),85 m²,6 Zi.,177 m² Grundstück,Wohn-/Geschäftshaus mit zwei Einheiten - Ipsheim,Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim in Vertretung der Sparkassen-Immobilien-Vermittlungs-GmbH,165.000 €
Vierkirchen (Vierkirchen),180 m²,6 Zi.,780 m² Grundstück,2 FH auf 780m² Grund in ruhiger Wohnlage.,Gewerblicher Anbieter,878.400 €
"Straßkirchen 7a, Vogtareuth (Straßkirchen)",145 m²,6 Zi.,304 m² Grundstück,Familienfreundliches großzügiges Reihenmittelhaus in sonniger Lage,Gewerblicher Anbieter,630.000 €
Kipfenberg (Grösdorf),274 m²,9.5 Zi.,5300 m² Grundstück,Herrschaftliche Villa mit Stallungen und Badeweiher Ortsrandlage,Privater Anbieter,auf Anfrage
Buttenheim (Frankendorf),160 m²,6 Zi.,1300 m² Grundstück,Provisionsfrei - Idylle pur - Wohlfühlen garantiert,Gewerblicher Anbieter,552.000 €
Michelau in Oberfranken / Lettenreuth (Lettenreuth),177.44 m²,7 Zi.,931 m² Grundstück,Ruhig gelegenes Einfamilienhaus mit Einliegerwohnung in Lettenreuth,Immobilien Kolb,369.000 €
"Dornbuschweg 5, Oberasbach (Altenberg)",100 m²,4 Zi.,264 m² Grundstück,*PROVISIONSFREI* Familienparadies Reihenendhaus in ruhiger Lage mit Garage + angelegter Garten im Herzen von Oberasbach.,Privater Anbieter,549.000 €
Obernbreit,253 m²,11 Zi.,1131 m² Grundstück,"Provisionsfrei - EFH mit Einliegerwohnung, Pool, Sauna, Garten und sehr viel Wohnkomfort in Obernbreit",Privater Anbieter,595.000 €
Schwabach (Forsthof),,,372 m² Grundstück,"Grundst. für EFH oder 2xDHH in SC ab 149.000,-- €",Privater Anbieter,149.000 €
Vaterstetten (Baldham),360 m²,6 Zi.,1250 m² Grundstück,VILLA High Woods - Erstbezug mit Wellnessbereich und Indoorpool in Baldhams Bestlage,Gewerblicher Anbieter,4.490.000 €
Oberdolling (Oberdolling),150 m²,5 Zi.,381 m² Grundstück,Doppelhaushälfte in Oberdolling,Privater Anbieter,675.000 €
Lindau (Bodensee) (Oberreitnau),204 m²,8 Zi.,732 m² Grundstück,Handwerker aufgepasst: Sanierungsbedürftiges MFH mit 3 Einheiten in familienfreundlicher Lage,McMakler GmbH,648.000 €
Leipheim (Leipheim),192 m²,8 Zi.,690 m² Grundstück,Seltene Gelegenheit - Großzügiges Zweifamilienhaus in Leipheim,Gewerblicher Anbieter,499.000 €
Kempten (Allgäu) / Neuhausen (Neuhausen),198.91 m²,6 Zi.,620 m² Grundstück,"""Oskar"" - Sonniges Einfamilienhaus in idyllischer Lage von Kempten-Neuhausen",Immodocs GmbH,720.000 €
Pfaffenhofen an der Ilm (Niederscheyern),165 m²,5.5 Zi.,385 m² Grundstück,Hier wartet Ihr Traumhaus auf Sie - in Pfaffenhofen an der Ilm,Privater Anbieter,750.000 €
"Lindenstraße 37, Weißenburg i. Bay. (Weißenburg)",355 m²,8 Zi.,736 m² Grundstück,Provisionsfrei - Einfamilienhaus mit Terrasse und Garten in Weißenburg i. Bay.,Privater Anbieter,599.000 €
Schnaittach (Hedersdorf),115 m²,4 Zi.,345 m² Grundstück,"Einziehen und wohlfühlen. Provisionsfreies Haus in, 91233, Rollhofen zu verkaufen.",Privater Anbieter,418.000 €
Prackenbach (Moosbach),123 m²,6 Zi.,625 m² Grundstück,Doppelhaushälfte wo andere gern Urlaub machen mit 123 m² Wohnfläche mit Sauna und Klimaanlage im LKR Regen,Privater Anbieter,"123,45 €"
Neuhaus am Inn (Neuhaus),214 m²,6 Zi.,657 m² Grundstück,Einfamilienhaus inmitten von Neuhaus am Inn mit vermieteten Gewerbeanbau!,Gewerblicher Anbieter,450.000 €
Kelheim (Stausacker),110 m²,,420 m² Grundstück,Provisionsfrei - Ihr neues Zuhause! EFH,Privater Anbieter,490.000 €
Erlangen (Dechsendorf),162 m²,7 Zi.,505 m² Grundstück,Luxus am Dechsendorfer Weiher - Direkt am Waldrand und vielen Extras,ULRICHS IMMOBILIEN - Immobilienmakler in Erlangen,1.095.000 €
Thüngersheim (Thüngersheim),220 m²,6 Zi.,681 m² Grundstück,Zwei in Einem!,VR-ImmoService Mainfranken GmbH,399.000 €
Buchbrunn,290 m²,14 Zi.,587 m² Grundstück,RICHTIG VIEL PLATZ - geräumiges 2-Familienhaus: Obj.-Nr. 1450 ,degel-immobilien MAINFRANKEN,519.000 €
